event_type,timestamp,epic,market_name,market_contract_size,market_margin_factor,bid,ask,mid,spread,volume,bar_open,bar_high,bar_low,bar_close,bar_volume,stream_state,strategy_enabled,execution_enabled,pending_orders,strategy_name,strategy_state,strategy_decision_action,strategy_decision_side,strategy_decision_reason,strategy_criteria_json,strategy_metadata_json,position_summary,position_side,position_size,position_entry_price,position_count,cash,balance,reserved_margin,realized_pnl,unrealized_pnl,equity,session_high_equity,session_low_equity,session_high_price,session_low_price,trade_high_equity,trade_low_equity,trade_high_price,trade_low_price,market_metadata_json,account_metadata_json,position_metadata_json,extrema_metadata_json,extra_json,note
position_open,2026-04-23T16:37:00.651000,IX.D.NASDAQ.IFMM.IP,EEUU Tech 100 al contado (1$),1.0,0.5,26857.0,26862.0,26859.5,5.0,,26861.6,26861.6,26861.6,26861.6,,on,True,True,0,std_levels_touch_density,short,,,,"[{""kind"": ""entry"", ""label"": ""long"", ""current"": -0.5588478983415894, ""target"": 0.25, ""comparator"": "">="", ""active"": false, ""note"": null}, {""kind"": ""entry"", ""label"": ""short"", ""current"": -0.5588478983415894, ""target"": -0.25, ""comparator"": ""<="", ""active"": true, ""note"": null}, {""kind"": ""exit"", ""label"": ""long"", ""current"": -0.5588478983415894, ""target"": 0.05, ""comparator"": ""<="", ""active"": false, ""note"": null}, {""kind"": ""exit"", ""label"": ""short"", ""current"": -0.5588478983415894, ""target"": -0.05, ""comparator"": "">="", ""active"": false, ""note"": null}, {""kind"": ""info"", ""label"": ""held_bars"", ""current"": 0, ""target"": 5, ""comparator"": ""<"", ""active"": true, ""note"": null}, {""kind"": ""info"", ""label"": ""signal_count"", ""current"": 1587, ""target"": null, ""comparator"": null, ""active"": null, ""note"": null}]","{""score"": -0.5588478983415894, ""entry_threshold"": 0.25, ""exit_threshold"": 0.05, ""max_hold_bars"": 5, ""lookback_days"": 120, ""kernel_width"": 7, ""signal_timeframe_minutes"": 3, ""in_position"": true, ""side"": -1, ""entry_index"": 1587, ""held_bars"": 0}",position=SELL size=0.02 entry=26856.75,sell,0.02,26856.75,1,43.66232499999995,43.66232499999995,2.685675,-1.6520000000000437,-0.055,46.29299999999996,50.0,46.747999999999955,26867.0,26793.0,46.29299999999996,46.29299999999996,26856.75,26856.75,"{""epic"": ""IX.D.NASDAQ.IFMM.IP"", ""name"": ""EEUU Tech 100 al contado (1$)"", ""contract_size"": 1.0, ""margin_factor"": 0.5, ""bid"": 26857.0, ""ask"": 26862.0, ""mid"": 26859.5, ""spread"": 5.0, ""volume"": null, ""bar"": {""open"": 26861.6, ""high"": 26861.6, ""low"": 26861.6, ""close"": 26861.6, ""volume"": null}}","{""cash"": 43.66232499999995, ""balance"": 43.66232499999995, ""reserved_margin"": 2.685675, ""realized_pnl"": -1.6520000000000437, ""unrealized_pnl"": -0.055, ""equity"": 46.29299999999996, ""position_count"": 1}","{""summary"": ""position=SELL size=0.02 entry=26856.75"", ""side"": ""sell"", ""size"": 0.02, ""entry_price"": 26856.75, ""count"": 1}","{""session_high_equity"": 50.0, ""session_low_equity"": 46.747999999999955, ""session_high_price"": 26867.0, ""session_low_price"": 26793.0, ""trade_high_equity"": 46.29299999999996, ""trade_low_equity"": 46.29299999999996, ""trade_high_price"": 26856.75, ""trade_low_price"": 26856.75, ""trade_start_time"": ""2026-04-23T16:37:00.651000"", ""trade_end_time"": null}","{""receipt"": {""order_id"": 5, ""action"": ""open"", ""side"": ""sell"", ""epic"": ""IX.D.NASDAQ.IFMM.IP"", ""requested_at"": ""2026-04-23T16:36:00"", ""filled_at"": ""2026-04-23T16:37:00.651000"", ""requested_price"": 26863.6, ""fill_price"": 26856.75, ""commission"": 0.35, ""fee"": 0.05, ""spread"": 5.0, ""slippage_points"": 0.25, ""latency_ms"": 150}, ""trade_extrema"": {""trade_high_equity"": 46.29299999999996, ""trade_low_equity"": 46.29299999999996, ""trade_high_price"": 26856.75, ""trade_low_price"": 26856.75, ""trade_start_time"": ""2026-04-23T16:37:00.651000"", ""trade_end_time"": null}}",filled sell at 26856.75
position_close,2026-04-23T16:52:16.878000,IX.D.NASDAQ.IFMM.IP,EEUU Tech 100 al contado (1$),1.0,0.5,26855.3,26860.3,26857.8,5.0,,26858.2,26858.2,26858.2,26858.2,,on,True,True,0,std_levels_touch_density,bearish,,,,"[{""kind"": ""entry"", ""label"": ""long"", ""current"": -0.5588478983415894, ""target"": 0.25, ""comparator"": "">="", ""active"": false, ""note"": null}, {""kind"": ""entry"", ""label"": ""short"", ""current"": -0.5588478983415894, ""target"": -0.25, ""comparator"": ""<="", ""active"": true, ""note"": null}, {""kind"": ""exit"", ""label"": ""long"", ""current"": -0.5588478983415894, ""target"": 0.05, ""comparator"": ""<="", ""active"": false, ""note"": null}, {""kind"": ""exit"", ""label"": ""short"", ""current"": -0.5588478983415894, ""target"": -0.05, ""comparator"": "">="", ""active"": false, ""note"": null}, {""kind"": ""info"", ""label"": ""held_bars"", ""current"": 0, ""target"": 5, ""comparator"": ""<"", ""active"": false, ""note"": null}, {""kind"": ""info"", ""label"": ""signal_count"", ""current"": 1592, ""target"": null, ""comparator"": null, ""active"": null, ""note"": null}]","{""score"": -0.5588478983415894, ""entry_threshold"": 0.25, ""exit_threshold"": 0.05, ""max_hold_bars"": 5, ""lookback_days"": 120, ""kernel_width"": 7, ""signal_timeframe_minutes"": 3, ""in_position"": false, ""side"": 0, ""entry_index"": 1587, ""held_bars"": 0}",position=NO_POSITION,,,,0,45.87199999999997,45.87199999999997,0.0,-1.728000000000029,0,45.87199999999997,50.0,46.12899999999994,26867.7,26793.0,46.46299999999996,46.12899999999994,26867.7,26851.0,"{""epic"": ""IX.D.NASDAQ.IFMM.IP"", ""name"": ""EEUU Tech 100 al contado (1$)"", ""contract_size"": 1.0, ""margin_factor"": 0.5, ""bid"": 26855.3, ""ask"": 26860.3, ""mid"": 26857.8, ""spread"": 5.0, ""volume"": null, ""bar"": {""open"": 26858.2, ""high"": 26858.2, ""low"": 26858.2, ""close"": 26858.2, ""volume"": null}}","{""cash"": 45.87199999999997, ""balance"": 45.87199999999997, ""reserved_margin"": 0.0, ""realized_pnl"": -1.728000000000029, ""unrealized_pnl"": 0, ""equity"": 45.87199999999997, ""position_count"": 0}","{""summary"": ""position=NO_POSITION"", ""side"": null, ""size"": null, ""entry_price"": null, ""count"": 0}","{""session_high_equity"": 50.0, ""session_low_equity"": 46.12899999999994, ""session_high_price"": 26867.7, ""session_low_price"": 26793.0, ""trade_high_equity"": 46.46299999999996, ""trade_low_equity"": 46.12899999999994, ""trade_high_price"": 26867.7, ""trade_low_price"": 26851.0, ""trade_start_time"": ""2026-04-23T16:37:00.651000"", ""trade_end_time"": ""2026-04-23T16:52:16.878000""}","{""receipt"": {""order_id"": 6, ""action"": ""close"", ""side"": ""buy"", ""epic"": ""IX.D.NASDAQ.IFMM.IP"", ""requested_at"": ""2026-04-23T16:51:00"", ""filled_at"": ""2026-04-23T16:52:16.878000"", ""requested_price"": 26858.0, ""fill_price"": 26860.55, ""commission"": 0.35, ""fee"": 0.05, ""spread"": 5.0, ""slippage_points"": 0.25, ""latency_ms"": 150}, ""trade_extrema"": {""trade_high_equity"": 46.46299999999996, ""trade_low_equity"": 46.12899999999994, ""trade_high_price"": 26867.7, ""trade_low_price"": 26851.0, ""trade_start_time"": ""2026-04-23T16:37:00.651000"", ""trade_end_time"": ""2026-04-23T16:52:16.878000""}}",filled buy at 26860.55
position_open,2026-04-23T16:55:05.773000,IX.D.NASDAQ.IFMM.IP,EEUU Tech 100 al contado (1$),1.0,0.5,26855.6,26860.6,26858.1,5.0,,26860.2,26860.2,26860.2,26860.2,,on,True,True,0,std_levels_touch_density,short,,,,"[{""kind"": ""entry"", ""label"": ""long"", ""current"": -0.5588478983415894, ""target"": 0.25, ""comparator"": "">="", ""active"": false, ""note"": null}, {""kind"": ""entry"", ""label"": ""short"", ""current"": -0.5588478983415894, ""target"": -0.25, ""comparator"": ""<="", ""active"": true, ""note"": null}, {""kind"": ""exit"", ""label"": ""long"", ""current"": -0.5588478983415894, ""target"": 0.05, ""comparator"": ""<="", ""active"": false, ""note"": null}, {""kind"": ""exit"", ""label"": ""short"", ""current"": -0.5588478983415894, ""target"": -0.05, ""comparator"": "">="", ""active"": false, ""note"": null}, {""kind"": ""info"", ""label"": ""held_bars"", ""current"": 0, ""target"": 5, ""comparator"": ""<"", ""active"": true, ""note"": null}, {""kind"": ""info"", ""label"": ""signal_count"", ""current"": 1593, ""target"": null, ""comparator"": null, ""active"": null, ""note"": null}]","{""score"": -0.5588478983415894, ""entry_threshold"": 0.25, ""exit_threshold"": 0.05, ""max_hold_bars"": 5, ""lookback_days"": 120, ""kernel_width"": 7, ""signal_timeframe_minutes"": 3, ""in_position"": true, ""side"": -1, ""entry_index"": 1593, ""held_bars"": 0}",position=SELL size=0.02 entry=26855.35,sell,0.02,26855.35,1,42.78646499999997,42.78646499999997,2.685535,-1.728000000000029,-0.055,45.41699999999997,50.0,45.87199999999997,26867.7,26793.0,45.41699999999997,45.41699999999997,26855.35,26855.35,"{""epic"": ""IX.D.NASDAQ.IFMM.IP"", ""name"": ""EEUU Tech 100 al contado (1$)"", ""contract_size"": 1.0, ""margin_factor"": 0.5, ""bid"": 26855.6, ""ask"": 26860.6, ""mid"": 26858.1, ""spread"": 5.0, ""volume"": null, ""bar"": {""open"": 26860.2, ""high"": 26860.2, ""low"": 26860.2, ""close"": 26860.2, ""volume"": null}}","{""cash"": 42.78646499999997, ""balance"": 42.78646499999997, ""reserved_margin"": 2.685535, ""realized_pnl"": -1.728000000000029, ""unrealized_pnl"": -0.055, ""equity"": 45.41699999999997, ""position_count"": 1}","{""summary"": ""position=SELL size=0.02 entry=26855.35"", ""side"": ""sell"", ""size"": 0.02, ""entry_price"": 26855.35, ""count"": 1}","{""session_high_equity"": 50.0, ""session_low_equity"": 45.87199999999997, ""session_high_price"": 26867.7, ""session_low_price"": 26793.0, ""trade_high_equity"": 45.41699999999997, ""trade_low_equity"": 45.41699999999997, ""trade_high_price"": 26855.35, ""trade_low_price"": 26855.35, ""trade_start_time"": ""2026-04-23T16:55:05.773000"", ""trade_end_time"": null}","{""receipt"": {""order_id"": 7, ""action"": ""open"", ""side"": ""sell"", ""epic"": ""IX.D.NASDAQ.IFMM.IP"", ""requested_at"": ""2026-04-23T16:54:00"", ""filled_at"": ""2026-04-23T16:55:05.773000"", ""requested_price"": 26861.1, ""fill_price"": 26855.35, ""commission"": 0.35, ""fee"": 0.05, ""spread"": 5.0, ""slippage_points"": 0.25, ""latency_ms"": 150}, ""trade_extrema"": {""trade_high_equity"": 45.41699999999997, ""trade_low_equity"": 45.41699999999997, ""trade_high_price"": 26855.35, ""trade_low_price"": 26855.35, ""trade_start_time"": ""2026-04-23T16:55:05.773000"", ""trade_end_time"": null}}",filled sell at 26855.35
position_close,2026-04-23T17:10:00.311000,IX.D.NASDAQ.IFMM.IP,EEUU Tech 100 al contado (1$),1.0,0.5,26890.0,26892.0,26891.0,2.0,,26890.5,26890.5,26890.5,26890.5,,on,True,True,0,std_levels_touch_density,bearish,,,,"[{""kind"": ""entry"", ""label"": ""long"", ""current"": -0.5588478983415894, ""target"": 0.25, ""comparator"": "">="", ""active"": false, ""note"": null}, {""kind"": ""entry"", ""label"": ""short"", ""current"": -0.5588478983415894, ""target"": -0.25, ""comparator"": ""<="", ""active"": true, ""note"": null}, {""kind"": ""exit"", ""label"": ""long"", ""current"": -0.5588478983415894, ""target"": 0.05, ""comparator"": ""<="", ""active"": false, ""note"": null}, {""kind"": ""exit"", ""label"": ""short"", ""current"": -0.5588478983415894, ""target"": -0.05, ""comparator"": "">="", ""active"": false, ""note"": null}, {""kind"": ""info"", ""label"": ""held_bars"", ""current"": 0, ""target"": 5, ""comparator"": ""<"", ""active"": false, ""note"": null}, {""kind"": ""info"", ""label"": ""signal_count"", ""current"": 1598, ""target"": null, ""comparator"": null, ""active"": null, ""note"": null}]","{""score"": -0.5588478983415894, ""entry_threshold"": 0.25, ""exit_threshold"": 0.05, ""max_hold_bars"": 5, ""lookback_days"": 120, ""kernel_width"": 7, ""signal_timeframe_minutes"": 3, ""in_position"": false, ""side"": 0, ""entry_index"": 1593, ""held_bars"": 0}",position=NO_POSITION,,,,0,44.333999999999946,44.333999999999946,0.0,-2.466000000000058,0,44.333999999999946,50.0,44.568999999999946,26900.5,26793.0,45.458999999999946,44.568999999999946,26900.5,26855.35,"{""epic"": ""IX.D.NASDAQ.IFMM.IP"", ""name"": ""EEUU Tech 100 al contado (1$)"", ""contract_size"": 1.0, ""margin_factor"": 0.5, ""bid"": 26890.0, ""ask"": 26892.0, ""mid"": 26891.0, ""spread"": 2.0, ""volume"": null, ""bar"": {""open"": 26890.5, ""high"": 26890.5, ""low"": 26890.5, ""close"": 26890.5, ""volume"": null}}","{""cash"": 44.333999999999946, ""balance"": 44.333999999999946, ""reserved_margin"": 0.0, ""realized_pnl"": -2.466000000000058, ""unrealized_pnl"": 0, ""equity"": 44.333999999999946, ""position_count"": 0}","{""summary"": ""position=NO_POSITION"", ""side"": null, ""size"": null, ""entry_price"": null, ""count"": 0}","{""session_high_equity"": 50.0, ""session_low_equity"": 44.568999999999946, ""session_high_price"": 26900.5, ""session_low_price"": 26793.0, ""trade_high_equity"": 45.458999999999946, ""trade_low_equity"": 44.568999999999946, ""trade_high_price"": 26900.5, ""trade_low_price"": 26855.35, ""trade_start_time"": ""2026-04-23T16:55:05.773000"", ""trade_end_time"": ""2026-04-23T17:10:00.311000""}","{""receipt"": {""order_id"": 8, ""action"": ""close"", ""side"": ""buy"", ""epic"": ""IX.D.NASDAQ.IFMM.IP"", ""requested_at"": ""2026-04-23T17:09:00"", ""filled_at"": ""2026-04-23T17:10:00.311000"", ""requested_price"": 26890.6, ""fill_price"": 26892.25, ""commission"": 0.35, ""fee"": 0.05, ""spread"": 2.0, ""slippage_points"": 0.25, ""latency_ms"": 150}, ""trade_extrema"": {""trade_high_equity"": 45.458999999999946, ""trade_low_equity"": 44.568999999999946, ""trade_high_price"": 26900.5, ""trade_low_price"": 26855.35, ""trade_start_time"": ""2026-04-23T16:55:05.773000"", ""trade_end_time"": ""2026-04-23T17:10:00.311000""}}",filled buy at 26892.25
position_open,2026-04-23T17:13:00.666000,IX.D.NASDAQ.IFMM.IP,EEUU Tech 100 al contado (1$),1.0,0.5,26890.8,26892.8,26891.8,2.0,,26891.6,26891.6,26891.6,26891.6,,on,True,True,0,std_levels_touch_density,short,,,,"[{""kind"": ""entry"", ""label"": ""long"", ""current"": -0.5588478983415894, ""target"": 0.25, ""comparator"": "">="", ""active"": false, ""note"": null}, {""kind"": ""entry"", ""label"": ""short"", ""current"": -0.5588478983415894, ""target"": -0.25, ""comparator"": ""<="", ""active"": true, ""note"": null}, {""kind"": ""exit"", ""label"": ""long"", ""current"": -0.5588478983415894, ""target"": 0.05, ""comparator"": ""<="", ""active"": false, ""note"": null}, {""kind"": ""exit"", ""label"": ""short"", ""current"": -0.5588478983415894, ""target"": -0.05, ""comparator"": "">="", ""active"": false, ""note"": null}, {""kind"": ""info"", ""label"": ""held_bars"", ""current"": 0, ""target"": 5, ""comparator"": ""<"", ""active"": true, ""note"": null}, {""kind"": ""info"", ""label"": ""signal_count"", ""current"": 1599, ""target"": null, ""comparator"": null, ""active"": null, ""note"": null}]","{""score"": -0.5588478983415894, ""entry_threshold"": 0.25, ""exit_threshold"": 0.05, ""max_hold_bars"": 5, ""lookback_days"": 120, ""kernel_width"": 7, ""signal_timeframe_minutes"": 3, ""in_position"": true, ""side"": -1, ""entry_index"": 1599, ""held_bars"": 0}",position=SELL size=0.02 entry=26890.55,sell,0.02,26890.55,1,41.244944999999944,41.244944999999944,2.689055,-2.466000000000058,-0.025,43.90899999999995,50.0,44.333999999999946,26900.5,26793.0,43.90899999999995,43.90899999999995,26890.55,26890.55,"{""epic"": ""IX.D.NASDAQ.IFMM.IP"", ""name"": ""EEUU Tech 100 al contado (1$)"", ""contract_size"": 1.0, ""margin_factor"": 0.5, ""bid"": 26890.8, ""ask"": 26892.8, ""mid"": 26891.8, ""spread"": 2.0, ""volume"": null, ""bar"": {""open"": 26891.6, ""high"": 26891.6, ""low"": 26891.6, ""close"": 26891.6, ""volume"": null}}","{""cash"": 41.244944999999944, ""balance"": 41.244944999999944, ""reserved_margin"": 2.689055, ""realized_pnl"": -2.466000000000058, ""unrealized_pnl"": -0.025, ""equity"": 43.90899999999995, ""position_count"": 1}","{""summary"": ""position=SELL size=0.02 entry=26890.55"", ""side"": ""sell"", ""size"": 0.02, ""entry_price"": 26890.55, ""count"": 1}","{""session_high_equity"": 50.0, ""session_low_equity"": 44.333999999999946, ""session_high_price"": 26900.5, ""session_low_price"": 26793.0, ""trade_high_equity"": 43.90899999999995, ""trade_low_equity"": 43.90899999999995, ""trade_high_price"": 26890.55, ""trade_low_price"": 26890.55, ""trade_start_time"": ""2026-04-23T17:13:00.666000"", ""trade_end_time"": null}","{""receipt"": {""order_id"": 9, ""action"": ""open"", ""side"": ""sell"", ""epic"": ""IX.D.NASDAQ.IFMM.IP"", ""requested_at"": ""2026-04-23T17:12:00"", ""filled_at"": ""2026-04-23T17:13:00.666000"", ""requested_price"": 26891.4, ""fill_price"": 26890.55, ""commission"": 0.35, ""fee"": 0.05, ""spread"": 2.0, ""slippage_points"": 0.25, ""latency_ms"": 150}, ""trade_extrema"": {""trade_high_equity"": 43.90899999999995, ""trade_low_equity"": 43.90899999999995, ""trade_high_price"": 26890.55, ""trade_low_price"": 26890.55, ""trade_start_time"": ""2026-04-23T17:13:00.666000"", ""trade_end_time"": null}}",filled sell at 26890.55
position_close,2026-04-23T17:28:01.111000,IX.D.NASDAQ.IFMM.IP,EEUU Tech 100 al contado (1$),1.0,0.5,26888.7,26890.7,26889.7,2.0,,26889.5,26889.5,26889.5,26889.5,,on,True,True,0,std_levels_touch_density,bearish,,,,"[{""kind"": ""entry"", ""label"": ""long"", ""current"": -0.5588478983415894, ""target"": 0.25, ""comparator"": "">="", ""active"": false, ""note"": null}, {""kind"": ""entry"", ""label"": ""short"", ""current"": -0.5588478983415894, ""target"": -0.25, ""comparator"": ""<="", ""active"": true, ""note"": null}, {""kind"": ""exit"", ""label"": ""long"", ""current"": -0.5588478983415894, ""target"": 0.05, ""comparator"": ""<="", ""active"": false, ""note"": null}, {""kind"": ""exit"", ""label"": ""short"", ""current"": -0.5588478983415894, ""target"": -0.05, ""comparator"": "">="", ""active"": false, ""note"": null}, {""kind"": ""info"", ""label"": ""held_bars"", ""current"": 0, ""target"": 5, ""comparator"": ""<"", ""active"": false, ""note"": null}, {""kind"": ""info"", ""label"": ""signal_count"", ""current"": 1604, ""target"": null, ""comparator"": null, ""active"": null, ""note"": null}]","{""score"": -0.5588478983415894, ""entry_threshold"": 0.25, ""exit_threshold"": 0.05, ""max_hold_bars"": 5, ""lookback_days"": 120, ""kernel_width"": 7, ""signal_timeframe_minutes"": 3, ""in_position"": false, ""side"": 0, ""entry_index"": 1599, ""held_bars"": 0}",position=NO_POSITION,,,,0,43.52599999999992,43.52599999999992,0.0,-2.4740000000000872,0,43.52599999999992,50.0,43.660999999999916,26904.2,26793.0,44.032999999999966,43.660999999999916,26904.2,26885.6,"{""epic"": ""IX.D.NASDAQ.IFMM.IP"", ""name"": ""EEUU Tech 100 al contado (1$)"", ""contract_size"": 1.0, ""margin_factor"": 0.5, ""bid"": 26888.7, ""ask"": 26890.7, ""mid"": 26889.7, ""spread"": 2.0, ""volume"": null, ""bar"": {""open"": 26889.5, ""high"": 26889.5, ""low"": 26889.5, ""close"": 26889.5, ""volume"": null}}","{""cash"": 43.52599999999992, ""balance"": 43.52599999999992, ""reserved_margin"": 0.0, ""realized_pnl"": -2.4740000000000872, ""unrealized_pnl"": 0, ""equity"": 43.52599999999992, ""position_count"": 0}","{""summary"": ""position=NO_POSITION"", ""side"": null, ""size"": null, ""entry_price"": null, ""count"": 0}","{""session_high_equity"": 50.0, ""session_low_equity"": 43.660999999999916, ""session_high_price"": 26904.2, ""session_low_price"": 26793.0, ""trade_high_equity"": 44.032999999999966, ""trade_low_equity"": 43.660999999999916, ""trade_high_price"": 26904.2, ""trade_low_price"": 26885.6, ""trade_start_time"": ""2026-04-23T17:13:00.666000"", ""trade_end_time"": ""2026-04-23T17:28:01.111000""}","{""receipt"": {""order_id"": 10, ""action"": ""close"", ""side"": ""buy"", ""epic"": ""IX.D.NASDAQ.IFMM.IP"", ""requested_at"": ""2026-04-23T17:27:00"", ""filled_at"": ""2026-04-23T17:28:01.111000"", ""requested_price"": 26889.8, ""fill_price"": 26890.95, ""commission"": 0.35, ""fee"": 0.05, ""spread"": 2.0, ""slippage_points"": 0.25, ""latency_ms"": 150}, ""trade_extrema"": {""trade_high_equity"": 44.032999999999966, ""trade_low_equity"": 43.660999999999916, ""trade_high_price"": 26904.2, ""trade_low_price"": 26885.6, ""trade_start_time"": ""2026-04-23T17:13:00.666000"", ""trade_end_time"": ""2026-04-23T17:28:01.111000""}}",filled buy at 26890.95
position_open,2026-04-23T17:31:00.549000,IX.D.NASDAQ.IFMM.IP,EEUU Tech 100 al contado (1$),1.0,0.5,26892.4,26894.4,26893.4,2.0,,26893.2,26893.2,26893.2,26893.2,,on,True,True,0,std_levels_touch_density,short,,,,"[{""kind"": ""entry"", ""label"": ""long"", ""current"": -0.5588478983415894, ""target"": 0.25, ""comparator"": "">="", ""active"": false, ""note"": null}, {""kind"": ""entry"", ""label"": ""short"", ""current"": -0.5588478983415894, ""target"": -0.25, ""comparator"": ""<="", ""active"": true, ""note"": null}, {""kind"": ""exit"", ""label"": ""long"", ""current"": -0.5588478983415894, ""target"": 0.05, ""comparator"": ""<="", ""active"": false, ""note"": null}, {""kind"": ""exit"", ""label"": ""short"", ""current"": -0.5588478983415894, ""target"": -0.05, ""comparator"": "">="", ""active"": false, ""note"": null}, {""kind"": ""info"", ""label"": ""held_bars"", ""current"": 0, ""target"": 5, ""comparator"": ""<"", ""active"": true, ""note"": null}, {""kind"": ""info"", ""label"": ""signal_count"", ""current"": 1605, ""target"": null, ""comparator"": null, ""active"": null, ""note"": null}]","{""score"": -0.5588478983415894, ""entry_threshold"": 0.25, ""exit_threshold"": 0.05, ""max_hold_bars"": 5, ""lookback_days"": 120, ""kernel_width"": 7, ""signal_timeframe_minutes"": 3, ""in_position"": true, ""side"": -1, ""entry_index"": 1605, ""held_bars"": 0}",position=SELL size=0.02 entry=26892.15,sell,0.02,26892.15,1,40.436784999999915,40.436784999999915,2.6892150000000004,-2.4740000000000872,-0.025,43.100999999999914,50.0,43.52599999999992,26904.2,26793.0,43.100999999999914,43.100999999999914,26892.15,26892.15,"{""epic"": ""IX.D.NASDAQ.IFMM.IP"", ""name"": ""EEUU Tech 100 al contado (1$)"", ""contract_size"": 1.0, ""margin_factor"": 0.5, ""bid"": 26892.4, ""ask"": 26894.4, ""mid"": 26893.4, ""spread"": 2.0, ""volume"": null, ""bar"": {""open"": 26893.2, ""high"": 26893.2, ""low"": 26893.2, ""close"": 26893.2, ""volume"": null}}","{""cash"": 40.436784999999915, ""balance"": 40.436784999999915, ""reserved_margin"": 2.6892150000000004, ""realized_pnl"": -2.4740000000000872, ""unrealized_pnl"": -0.025, ""equity"": 43.100999999999914, ""position_count"": 1}","{""summary"": ""position=SELL size=0.02 entry=26892.15"", ""side"": ""sell"", ""size"": 0.02, ""entry_price"": 26892.15, ""count"": 1}","{""session_high_equity"": 50.0, ""session_low_equity"": 43.52599999999992, ""session_high_price"": 26904.2, ""session_low_price"": 26793.0, ""trade_high_equity"": 43.100999999999914, ""trade_low_equity"": 43.100999999999914, ""trade_high_price"": 26892.15, ""trade_low_price"": 26892.15, ""trade_start_time"": ""2026-04-23T17:31:00.549000"", ""trade_end_time"": null}","{""receipt"": {""order_id"": 11, ""action"": ""open"", ""side"": ""sell"", ""epic"": ""IX.D.NASDAQ.IFMM.IP"", ""requested_at"": ""2026-04-23T17:30:00"", ""filled_at"": ""2026-04-23T17:31:00.549000"", ""requested_price"": 26893.1, ""fill_price"": 26892.15, ""commission"": 0.35, ""fee"": 0.05, ""spread"": 2.0, ""slippage_points"": 0.25, ""latency_ms"": 150}, ""trade_extrema"": {""trade_high_equity"": 43.100999999999914, ""trade_low_equity"": 43.100999999999914, ""trade_high_price"": 26892.15, ""trade_low_price"": 26892.15, ""trade_start_time"": ""2026-04-23T17:31:00.549000"", ""trade_end_time"": null}}",filled sell at 26892.15
